2025-10-10 08:20:47.099 | com.neo.ftpserver.FtpMinaServerApplication | main | INFO | Starting FtpMinaServerApplication v1.0 using Java 17.0.16 with PID 6384 (D:\Intellij\payment\ftp-mina-server\target\classes started by admin in D:\Intellij\payment\ftp-mina-server)
2025-10-10 08:20:47.107 | com.neo.ftpserver.FtpMinaServerApplication | main | DEBUG | Running with Spring Boot v3.5.6, Spring v6.2.11
2025-10-10 08:20:47.109 | com.neo.ftpserver.FtpMinaServerApplication | main | INFO | No active profile set, falling back to 1 default profile: "default"
2025-10-10 08:20:52.953 | com.neo.ftpserver.cache.CacheSwapService | main | DEBUG | >> Force refresh cache for AccountFtpCache
2025-10-10 08:20:52.953 | com.neo.ftpserver.cache.CacheSwapService | main | DEBUG | >> Start cache update for AccountFtpCache
2025-10-10 08:20:53.009 | com.neo.ftpserver.cache.CacheSwapService | main | INFO | >> Cache swapped successfully for AccountFtpCache: 0 → 1 items, time: 54ms
2025-10-10 08:20:53.039 | com.neo.ftpserver.cache.CacheSwapService | main | DEBUG | >> Force refresh cache for AccountFtpRoleCache
2025-10-10 08:20:53.039 | com.neo.ftpserver.cache.CacheSwapService | main | DEBUG | >> Start cache update for AccountFtpRoleCache
2025-10-10 08:20:53.059 | com.neo.ftpserver.cache.CacheSwapService | main | INFO | >> Cache swapped successfully for AccountFtpRoleCache: 0 → 6 items, time: 19ms
2025-10-10 08:20:53.429 | com.neo.ftpserver.ftp.FtpServerService | main | INFO | 🔧 Initializing FTP/FTPS server on port 2121/990
2025-10-10 08:20:53.610 | com.neo.ftpserver.ftp.FtpServerService | main | INFO | ✅ FTP/FTPS server started successfully on port 2121/990
2025-10-10 08:20:54.661 | com.neo.ftpserver.FtpMinaServerApplication | main | INFO | Started FtpMinaServerApplication in 8.752 seconds (process running for 11.454)
2025-10-10 08:20:54.681 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Force refresh cache for AccountFtpCache
2025-10-10 08:20:54.683 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Start cache update for AccountFtpCache
2025-10-10 08:20:54.728 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | INFO | >> Cache swapped successfully for AccountFtpCache: 1 → 1 items, time: 43ms
2025-10-10 08:20:54.730 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Force refresh cache for AccountFtpRoleCache
2025-10-10 08:20:54.731 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Start cache update for AccountFtpRoleCache
2025-10-10 08:20:54.766 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | INFO | >> Cache swapped successfully for AccountFtpRoleCache: 6 → 6 items, time: 35ms
2025-10-10 08:21:04.733 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Force refresh cache for AccountFtpCache
2025-10-10 08:21:04.734 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Start cache update for AccountFtpCache
2025-10-10 08:21:04.757 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | INFO | >> Cache swapped successfully for AccountFtpCache: 1 → 1 items, time: 22ms
2025-10-10 08:21:04.768 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Force refresh cache for AccountFtpRoleCache
2025-10-10 08:21:04.768 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Start cache update for AccountFtpRoleCache
2025-10-10 08:21:04.785 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | INFO | >> Cache swapped successfully for AccountFtpRoleCache: 6 → 6 items, time: 16ms
2025-10-10 08:21:14.759 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Force refresh cache for AccountFtpCache
2025-10-10 08:21:14.760 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Start cache update for AccountFtpCache
2025-10-10 08:21:14.790 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | INFO | >> Cache swapped successfully for AccountFtpCache: 1 → 1 items, time: 30ms
2025-10-10 08:21:14.792 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Force refresh cache for AccountFtpRoleCache
2025-10-10 08:21:14.793 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Start cache update for AccountFtpRoleCache
2025-10-10 08:21:14.814 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | INFO | >> Cache swapped successfully for AccountFtpRoleCache: 6 → 6 items, time: 21ms
2025-10-10 08:21:16.371 | com.neo.ftpserver.permission.UnifiedFtplet | pool-4-thread-1 | DEBUG | Processing command: USER from IP: 127.0.0.1
2025-10-10 08:21:16.372 | com.neo.ftpserver.permission.UnifiedFtplet | pool-4-thread-1 | INFO | User login attempt: manhnd from IP: 127.0.0.1
2025-10-10 08:21:16.372 | com.neo.ftpserver.permission.UnifiedFtplet | pool-4-thread-1 | INFO | IP 127.0.0.1 is allowed for user: manhnd
2025-10-10 08:21:16.375 | com.neo.ftpserver.ftp.CustomUserManager | pool-4-thread-1 | DEBUG | Built home directory for account manhnd: D:\Intellij\payment\ftp-mina-server\ftp\manhnd\assets
2025-10-10 08:21:16.380 | com.neo.ftpserver.permission.AuditLogFtplet | pool-4-thread-1 | INFO | #afterCommand: USER from 127.0.0.1
2025-10-10 08:21:16.382 | com.neo.ftpserver.permission.AuditLogFtplet | pool-4-thread-1 | DEBUG | [UNKNOWN_CMD] anonymous USER IP=127.0.0.1
2025-10-10 08:21:18.440 | com.neo.ftpserver.permission.UnifiedFtplet | pool-4-thread-2 | DEBUG | Processing command: PASS from IP: 127.0.0.1
2025-10-10 08:21:18.445 | com.neo.ftpserver.util.EnCodeUtils | pool-4-thread-2 | DEBUG | input: 123456
2025-10-10 08:21:18.446 | com.neo.ftpserver.util.EnCodeUtils | pool-4-thread-2 | DEBUG | ShaEncoder: 8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
2025-10-10 08:21:18.446 | com.neo.ftpserver.ftp.CustomUserManager | pool-4-thread-2 | INFO | FTP login successful for user manhnd
2025-10-10 08:21:18.447 | com.neo.ftpserver.ftp.CustomUserManager | pool-4-thread-2 | DEBUG | Built home directory for account manhnd: D:\Intellij\payment\ftp-mina-server\ftp\manhnd\assets
2025-10-10 08:21:18.451 | com.neo.ftpserver.permission.AuditLogFtplet | pool-4-thread-2 | INFO | #afterCommand: PASS from 127.0.0.1
2025-10-10 08:21:18.452 | com.neo.ftpserver.permission.AuditLogFtplet | pool-4-thread-2 | DEBUG | [UNKNOWN_CMD] manhnd PASS IP=127.0.0.1
2025-10-10 08:21:20.411 | com.neo.ftpserver.permission.UnifiedFtplet | pool-4-thread-1 | DEBUG | Processing command: QUIT from IP: 127.0.0.1
2025-10-10 08:21:20.412 | com.neo.ftpserver.permission.UnifiedFtplet | pool-4-thread-1 | INFO | Connection validation - User: manhnd, IsSecure: false, RequiredType: 3
2025-10-10 08:21:20.418 | com.neo.ftpserver.permission.AuditLogFtplet | pool-4-thread-1 | INFO | #afterCommand: QUIT from 127.0.0.1
2025-10-10 08:21:20.418 | com.neo.ftpserver.permission.AuditLogFtplet | pool-4-thread-1 | DEBUG | [UNKNOWN_CMD] manhnd QUIT IP=127.0.0.1
2025-10-10 08:21:20.421 | com.neo.ftpserver.permission.AuditLogFtplet | pool-4-thread-1 | INFO | [LOGOUT] User=manhnd IP=127.0.0.1
2025-10-10 08:21:24.794 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Force refresh cache for AccountFtpCache
2025-10-10 08:21:24.795 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Start cache update for AccountFtpCache
2025-10-10 08:21:24.829 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | INFO | >> Cache swapped successfully for AccountFtpCache: 1 → 1 items, time: 33ms
2025-10-10 08:21:24.830 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Force refresh cache for AccountFtpRoleCache
2025-10-10 08:21:24.830 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Start cache update for AccountFtpRoleCache
2025-10-10 08:21:24.846 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | INFO | >> Cache swapped successfully for AccountFtpRoleCache: 6 → 6 items, time: 15ms
2025-10-10 08:21:34.830 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Force refresh cache for AccountFtpCache
2025-10-10 08:21:34.830 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Start cache update for AccountFtpCache
2025-10-10 08:21:34.857 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | INFO | >> Cache swapped successfully for AccountFtpCache: 1 → 1 items, time: 26ms
2025-10-10 08:21:34.857 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Force refresh cache for AccountFtpRoleCache
2025-10-10 08:21:34.858 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Start cache update for AccountFtpRoleCache
2025-10-10 08:21:34.873 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | INFO | >> Cache swapped successfully for AccountFtpRoleCache: 6 → 6 items, time: 14ms
2025-10-10 08:21:44.867 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Force refresh cache for AccountFtpCache
2025-10-10 08:21:44.868 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Start cache update for AccountFtpCache
2025-10-10 08:21:44.887 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | INFO | >> Cache swapped successfully for AccountFtpCache: 1 → 1 items, time: 18ms
2025-10-10 08:21:44.888 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Force refresh cache for AccountFtpRoleCache
2025-10-10 08:21:44.888 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Start cache update for AccountFtpRoleCache
2025-10-10 08:21:44.898 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | INFO | >> Cache swapped successfully for AccountFtpRoleCache: 6 → 6 items, time: 10ms
2025-10-10 08:21:54.888 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Force refresh cache for AccountFtpCache
2025-10-10 08:21:54.889 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Start cache update for AccountFtpCache
2025-10-10 08:21:54.914 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | INFO | >> Cache swapped successfully for AccountFtpCache: 1 → 1 items, time: 25ms
2025-10-10 08:21:54.915 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Force refresh cache for AccountFtpRoleCache
2025-10-10 08:21:54.915 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Start cache update for AccountFtpRoleCache
2025-10-10 08:21:54.926 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | INFO | >> Cache swapped successfully for AccountFtpRoleCache: 6 → 6 items, time: 10ms
2025-10-10 08:22:04.917 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Force refresh cache for AccountFtpCache
2025-10-10 08:22:04.918 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Start cache update for AccountFtpCache
2025-10-10 08:22:04.944 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | INFO | >> Cache swapped successfully for AccountFtpCache: 1 → 1 items, time: 25ms
2025-10-10 08:22:04.944 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Force refresh cache for AccountFtpRoleCache
2025-10-10 08:22:04.945 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Start cache update for AccountFtpRoleCache
2025-10-10 08:22:04.957 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | INFO | >> Cache swapped successfully for AccountFtpRoleCache: 6 → 6 items, time: 12ms
2025-10-10 08:22:05.020 | com.neo.ftpserver.logger.LogFtp | scheduling-1 | INFO | #paramsArray: [manhnd, LOGOUT, null, null, 127.0.0.1, false, 10/10/2025 08:21:20]
2025-10-10 08:22:05.125 | com.neo.ftpserver.logger.AbstractJobProcessLog | scheduling-1 | INFO | Commit successful num: 1 rows; execute time: 103 milliseconds
2025-10-10 08:22:05.152 | com.neo.ftpserver.logger.AbstractJobProcessLog | scheduling-1 | INFO | >>>>>>>>>>>>>>>> delete file: D:\Intellij\payment\ftp-mina-server\logs\work\wait\work-log-inbound.1.2025-10-10-082100.log status: true
2025-10-10 08:22:14.945 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Force refresh cache for AccountFtpCache
2025-10-10 08:22:14.945 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Start cache update for AccountFtpCache
2025-10-10 08:22:14.971 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | INFO | >> Cache swapped successfully for AccountFtpCache: 1 → 1 items, time: 25ms
2025-10-10 08:22:14.971 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Force refresh cache for AccountFtpRoleCache
2025-10-10 08:22:14.972 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Start cache update for AccountFtpRoleCache
2025-10-10 08:22:14.992 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | INFO | >> Cache swapped successfully for AccountFtpRoleCache: 6 → 6 items, time: 21ms
2025-10-10 08:22:24.972 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Force refresh cache for AccountFtpCache
2025-10-10 08:22:24.972 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Start cache update for AccountFtpCache
2025-10-10 08:22:24.990 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | INFO | >> Cache swapped successfully for AccountFtpCache: 1 → 1 items, time: 17ms
2025-10-10 08:22:24.994 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Force refresh cache for AccountFtpRoleCache
2025-10-10 08:22:24.994 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Start cache update for AccountFtpRoleCache
2025-10-10 08:22:25.004 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | INFO | >> Cache swapped successfully for AccountFtpRoleCache: 6 → 6 items, time: 10ms
2025-10-10 08:22:34.991 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Force refresh cache for AccountFtpCache
2025-10-10 08:22:34.991 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Start cache update for AccountFtpCache
2025-10-10 08:22:35.005 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | INFO | >> Cache swapped successfully for AccountFtpCache: 1 → 1 items, time: 13ms
2025-10-10 08:22:35.005 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Force refresh cache for AccountFtpRoleCache
2025-10-10 08:22:35.006 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Start cache update for AccountFtpRoleCache
2025-10-10 08:22:35.014 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | INFO | >> Cache swapped successfully for AccountFtpRoleCache: 6 → 6 items, time: 8ms
2025-10-10 08:22:45.006 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Force refresh cache for AccountFtpCache
2025-10-10 08:22:45.007 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Start cache update for AccountFtpCache
2025-10-10 08:22:45.035 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | INFO | >> Cache swapped successfully for AccountFtpCache: 1 → 1 items, time: 27ms
2025-10-10 08:22:45.036 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Force refresh cache for AccountFtpRoleCache
2025-10-10 08:22:45.036 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Start cache update for AccountFtpRoleCache
2025-10-10 08:22:45.049 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | INFO | >> Cache swapped successfully for AccountFtpRoleCache: 6 → 6 items, time: 13ms
2025-10-10 08:22:55.046 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Force refresh cache for AccountFtpCache
2025-10-10 08:22:55.046 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Start cache update for AccountFtpCache
